Store,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent
Bangalore,40669,15100,20,170,1.15,10.11,4.71E-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID6.1339,No
Bangalore,36406,15100,16,153,0.6,8.06,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.2822,No
Bangalore,42480,15100,27,236,0.98,12.55,0.047338066,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID7.2333,No
Bangalore,33965,15100,9,68,0.72,9.54,0.050737496,October In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID9.85,No
Bangalore,48835,15100,17,97,0.54,10.68,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.4748,No
Bangalore,76409,15100,30,269,1.14,11,0.063571718,In Store Credit Card Signup Discount; Christmas Email Campaign ID11.1156,No
Bangalore,35360,15100,12,152,0.46,8.78,4.71E-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID8.5144,No
Bangalore,36633,15100,17,155,0.81,9.89,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.9739,No
Bangalore,41413,15100,27,205,1.21,10.62,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.4763,No
Bangalore,44245,15100,14,82,0.3,6.89,0.050737496,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID4.5868,No
Bangalore,38227,15100,32,150,0.1,5.66,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3929,No
Bangalore,80560,15100,30,189,1.83,11.39,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID11.8717,No
Bangalore,40741,15100,10,185,0.35,9.09,4.71E-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID20.0807,No
Bangalore,39509,15100,21,161,0.35,11.75,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.147,No
Bangalore,53051,15100,12,207,0.68,9.58,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID19.367,No
Bangalore,36227,15100,16,77,0.17,6.98,0.050737496,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID6.964,No
Bangalore,65925,15100,26,212,0.62,6.61,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3752,No
Bangalore,64383,15100,18,93,0.63,14.78,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID21.5443,No
Bangalore,33871,15100,16,182,0.93,10.23,4.71E-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID12.3747,No
Bangalore,43499,15100,15,217,0.98,8.42,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID24.5867,No
Bangalore,34523,15100,18,81,0.2,7.91,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID30.5005,No
Bangalore,40053,15100,21,102,0.24,11.44,0.050737496,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID22.347,No
Bangalore,52522,15100,28,158,1.13,10.07,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID39.1014,No
Bangalore,54377,15100,9,99,0.46,17.07,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID13.2491,No
Bangalore,36880,15100,19,155,0.56,9.95,4.71E-05,July In Store Credit Card Signup Discount; ID5.3119,No
Bangalore,42099,15100,29,170,0.75,9.86,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID6.5476,No
Bangalore,36234,15100,18,75,0.65,7.92,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID24.7132,No
Bangalore,32449,15100,27,124,0.74,9.54,0.050737496,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID30.6805,No
Bangalore,47155,15100,10,75,0.23,8.91,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID32.5525,No
Bangalore,69302,15100,13,120,1.04,15.82,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID27.4057,No
Bangalore,43441,15100,25,175,0.47,12.22,4.71E-05,July In Store Credit Card Signup Discount; ID36.6079,No
Bangalore,42310,15100,13,120,0.4,10.99,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID25.2042,No
Bangalore,44362,15100,24,100,1.09,6.73,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID32.0763,No
Bangalore,114885,15100,62,820,1.21,8.65,0.050737496,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID46.1922,Yes
Bangalore,46734,15100,20,75,0.36,9.92,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID15.9412,No
Bangalore,62347,15100,19,126,1.48,14.3,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID29.9345,No
Bangalore,47133,15100,24,261,0.85,8.55,4.71E-05,July In Store Credit Card Signup Discount; ID4.3752,No
Bangalore,39751,15100,9,120,0.02,8.85,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID19.5236,No
Bangalore,37721,15100,24,115,0.65,7.28,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID0.9547,No
Bangalore,78397,15100,54,532,0.21,9.65,0.052610438,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID52.5675,Yes
Bangalore,45575,15100,23,86,0.57,10.95,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID24.261,No
Bangalore,81766,15100,30,161,1.06,13.25,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID60.8058,No
Bangalore,40165,15100,19,172,0.66,11.24,0.000693728,July In Store Credit Card Signup Discount; ID20.3276,No
Bangalore,34594,15100,14,143,1,10.25,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID34.117,No
Bangalore,44614,15100,17,155,0.9,6.63,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID57.0426,No
Bangalore,54465,15100,33,331,0.24,11.19,0.052610438,In Store Credit Card Signup Discount; ID52.5961,Yes
Bangalore,40855,15100,29,100,0.09,6.77,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID16.6085,No
Bangalore,73663,15100,25,243,1.13,10.55,0.06899898,In Store Credit Card Signup Discount; Christmas Email Campaign ID61.1353,No
Bangalore,37262,15100,11,125,0.68,9.45,0.000693728,July In Store Credit Card Signup Discount; ID13.2671,No
